aadhaar_id,name,phone,address,dob,flagged
7645-8376-8145,Jyoti Mehta,9344002978,56 Faridabad,1978-12-16,False
1360-9996-3257,Rajesh Verma,9147513627,32 Gurugram,1984-10-18,False
2433-8520-3222,Deepak Gupta,9379298416,49 Lucknow,1979-09-14,False
1138-8967-6539,Neha Chauhan,9177992298,5 Lucknow,1980-08-20,True
7600-8152-6811,Karan Reddy,9222646861,37 Noida,1981-03-09,False
8820-3547-1797,Naveen Patel,9301756820,80 Bengaluru,1987-11-19,False
6744-4211-6791,Rahul Reddy,9105218549,2 Bengaluru,1975-05-09,True
0611-2059-8562,Sunita Devi,9465908538,46 Noida,1989-02-04,False
7845-6846-4322,Kavita Mishra,9322808864,41 Gurugram,1970-05-18,False
5883-7524-7496,Komal Yadav,9370382653,71 Bengaluru,1997-04-12,False
6235-8830-8463,Ramesh Singh,9214584210,83 Lucknow,1979-10-02,False
9822-9994-4065,Rajesh Mehta,9025822018,17 Delhi,1981-05-07,False
3703-2758-5324,Rahul Verma,9188357951,56 Kolkata,1994-05-09,False
4365-7281-4319,Sanjay Chauhan,9556963279,19 Mumbai,1980-02-11,False
2833-0172-4375,Neha Chauhan,9085651788,72 Bengaluru,1990-06-02,False
2798-5069-1380,Anita Mishra,9951838012,73 Kolkata,1976-10-22,False
5999-4159-7636,Amit Khanna,9555974754,26 Noida,1970-08-26,False
9208-2856-4218,Rohit Khanna,9884791889,68 Bengaluru,1991-06-12,True
4904-2932-2280,Sanjay Tiwari,9898329822,35 Gurugram,1995-11-28,True
7096-3267-2796,Priya Patel,9070015945,31 Jaipur,1976-02-14,False
7103-3101-7010,Naveen Bhatt,9789713311,4 Noida,1973-03-07,False
9178-5345-4175,Vivek Tiwari,9721283576,88 Gurugram,1999-12-22,False
6419-1505-2755,Ramesh Kumar,9879169797,69 Noida,1998-06-05,True
8519-2725-8689,Divya Chauhan,9608724385,16 Lucknow,1970-06-20,False
9213-1895-7330,Meena Yadav,9033042845,71 Noida,1999-01-07,False
9563-8850-3899,Rahul Saxena,9143049074,64 Noida,1987-11-17,False
4569-2767-7669,Komal Singh,9681792232,12 Jaipur,1994-06-13,False
4133-3899-1893,Anita Malhotra,9812061769,49 Bengaluru,1972-12-22,True
4872-4110-7306,Karan Yadav,9079113571,95 Kolkata,1994-08-24,False
8895-8818-6193,Ramesh Joshi,9352136295,89 Faridabad,1989-09-10,False
6783-3699-8763,Amit Bhatt,9692767094,66 Jaipur,1980-09-10,False
2577-7134-8405,Neha Patel,9538965013,25 Kolkata,1989-07-16,False
5675-3878-2447,Manoj Saxena,9011527611,57 Kolkata,1980-10-06,True
0179-2320-9871,Sneha Mishra,9510626148,78 Pune,1973-06-06,False
8639-7538-4753,Gaurav Yadav,9699439828,53 Gurugram,1987-10-09,False
6165-1744-6105,Anjali Nair,9193039955,56 Pune,1990-07-20,True
8790-8456-0890,Sunita Mehta,9440330132,38 Lucknow,1987-08-04,False
6507-0799-1122,Gaurav Reddy,9804658730,59 Noida,1978-11-18,True
6404-1223-0164,Vijay Singh,9789235240,47 Kolkata,1982-02-12,False
7715-5949-3130,Komal Yadav,9137852223,25 Delhi,1982-05-19,False
6789-1177-7844,Shweta Devi,9704247613,41 Mumbai,2000-11-27,False
3586-0700-5863,Jyoti Malhotra,9800530514,87 Pune,1991-06-18,False
5831-1993-4328,Sandeep Joshi,9106709072,16 Delhi,1992-11-28,False
7145-9112-7086,Pooja Reddy,9875262394,26 Pune,1979-07-27,False
4491-4754-1503,Shweta Bhatt,9134217233,81 Pune,1984-08-02,False
4641-2788-9269,Arun Yadav,9410823595,36 Lucknow,1991-05-01,False
5136-2147-0305,Rahul Sharma,9619568080,3 Gurugram,1992-01-21,False
6889-6550-1271,Mohit Khanna,9305703048,14 Kolkata,1992-09-23,False
2921-9692-4011,Meena Chauhan,9030042637,6 Kolkata,1973-06-12,False
7973-1650-8391,Mohit Verma,9579299239,54 Faridabad,1976-08-02,False
4174-8991-1492,Gaurav Malhotra,9506635167,18 Noida,1998-06-19,False
8545-3664-7652,Kavita Kumar,9909208242,89 Mumbai,1974-07-06,False
3188-7710-8617,Pooja Joshi,9178013325,18 Lucknow,1981-12-14,False
4262-3628-2072,Nisha Tiwari,9607002238,63 Pune,1989-06-07,False
0579-9740-9112,Arun Mishra,9637171124,84 Bengaluru,1972-07-11,False
2247-9849-4106,Rajesh Mehta,9022502152,15 Delhi,1972-05-18,False
0195-5891-4995,Neha Khanna,9521222386,22 Jaipur,1984-08-13,True
5923-5579-0346,Rekha Verma,9974476604,37 Faridabad,1989-04-13,False
9795-4999-0734,Vivek Joshi,9926877109,32 Mumbai,1978-05-13,False
0728-4077-9382,Ramesh Sharma,9568965164,56 Kolkata,1987-09-06,False
8081-0276-1433,Pooja Malhotra,9009897600,81 Noida,1975-01-28,False
1851-7076-7774,Karan Yadav,9244317746,57 Faridabad,1975-11-07,False
7079-6490-8357,Amit Singh,9672521899,54 Faridabad,1975-02-05,False
8124-9323-8207,Jyoti Reddy,9502952920,25 Noida,1980-07-11,False
5911-8735-4658,Vikas Chauhan,9645011459,43 Gurugram,1996-10-14,False
5433-6896-1056,Manoj Bansal,9331560408,2 Jaipur,1993-02-20,False
9999-2691-1085,Deepak Mehta,9157539210,71 Mumbai,1988-12-02,True
7126-1242-8532,Sanjay Nair,9980655856,54 Noida,1987-05-11,False
1336-4479-3633,Anjali Reddy,9069426698,89 Faridabad,1977-02-15,False
3730-1715-4431,Amit Chauhan,9044186134,25 Lucknow,1990-06-14,False
5520-2102-5441,Kavita Kumar,9172466412,71 Noida,1986-05-18,False
7027-0188-6096,Ramesh Mehta,9499961797,47 Bengaluru,1985-06-14,False
4562-0689-3274,Ajay Yadav,9162448717,18 Jaipur,1998-04-14,False
1820-6310-9542,Mohit Nair,9750580777,74 Mumbai,1981-08-19,True
0223-4845-3650,Arun Patel,9124528771,6 Kolkata,1978-05-28,False
0389-4883-2338,Sandeep Verma,9744158662,51 Noida,1981-12-05,False
5299-5665-1528,Nisha Mehta,9902710528,81 Lucknow,1979-07-01,False
5619-4193-0545,Arun Sharma,9572234888,67 Noida,1974-07-23,False
5048-5733-1306,Komal Mishra,9922755354,77 Mumbai,1979-08-09,False
8548-6669-0857,Kavita Chauhan,9138730375,42 Jaipur,1970-06-16,False
8810-6292-2566,Manoj Kumar,9825753707,58 Jaipur,1970-10-02,False
2754-5498-1678,Jyoti Patel,9680431041,42 Pune,1972-05-22,False
7793-0608-9876,Deepak Tiwari,9188589383,13 Lucknow,1993-01-15,False
